local,corte,gen,block,peso
AC,10,PM38,2,922.3951289647298
AC,10,PM46,2,1455.436170302629
AC,10,TANZ,2,826.8825290019311
AC,10,PM44,2,1323.8615794483987
AC,10,PM40,2,1559.6750829015887
AC,10,PM32,2,1960.9546753892753
AC,10,PM34,2,903.5154529384887
AC,10,MILE,2,864.51331510162845
AC,10,MASS,2,1696.9029293111882
AC,10,ARUA,2,657.8704506817471
AC,10,PM39,3,1208.7255048029842
AC,10,PM35,3,880.0839112655251
AC,10,PM30,3,771.1402590829503
AC,10,PM44,3,1155.1900606117174
AC,10,PM36,3,769.6268938070156
AC,10,PM31,3,1242.6482143994733
AC,10,PM47,3,1054.9980472354441
AC,10,PM43,3,662.1247736834445
AC,10,PM38,3,664.7798919882057
AC,10,PM40,3,1048.5037925772237
AC,10,MASS,3,1348.1317815158657
AC,10,PM46,3,1189.463841336657
AC,10,TANZ,3,926.1256400279282
AC,10,MILE,3,782.8569935033206
AC,10,PM45,3,1305.280928874081
AC,10,PM32,3,1735.1486708600671
AC,10,PM37,3,1432.064835949347
AC,10,PM42,3,922.4869432044503
AC,10,PM33,3,1132.9894487255274
AC,10,MOMB,3,1130.6686766778066
AC,10,PM34,3,854.2769690164546
AC,10,PM41,3,1010.3500499670303
AC,10,ARUA,3,646.7873559801127
AC,11,PM30,1,531.9874807519394
AC,11,PM31,1,570.9461453058772
AC,11,PM32,1,401.94278066912085
AC,11,PM33,1,526.2647578966221
AC,11,MOMB,1,536.69048673292
AC,11,PM34,1,553.8192524015221
AC,11,PM35,1,363.27442114004714
AC,11,PM36,1,381.12177708620555
AC,11,PM37,1,479.08379572982193
AC,11,TANZ,1,489.7620156804291
AC,11,PM38,1,506.3479949257109
AC,11,PM39,1,632.2778483537719
AC,11,PM40,1,641.9385599272796
AC,11,PM41,1,690.8085702839977
AC,11,MASS,1,669.067034882817
AC,11,PM42,1,410.59929417909933
AC,11,PM43,1,270.94138498460666
AC,11,PM44,1,471.1141202891749
AC,11,PM45,1,368.67408415757177
AC,11,MILE,1,500.06501464725596
AC,11,PM46,1,552.6658473248152
